Name,Code,Regular Fee,Full Fee,Duration,Description,Admission Requirement
Physics,MATH162,10000,11460,6 months,Comprehensive curriculum with practical exposure.,Portfolio submission.
Engineering,ME471,1000,2488,1 year,Prepares students for global careers.,High school diploma or equivalent.
Computer Science,LAW348,20000,21260,3 years,Designed for future professionals.,Entrance exam required.
Chemistry,MED493,5000,9341,2 years,Covers fundamentals and advanced topics.,Entrance exam required.
Biology,MGMT198,30000,34102,4 years,Focuses on theoretical and applied aspects.,English proficiency test.
Mathematics,CS384,30000,32836,1 year,Prepares students for global careers.,English proficiency test.
Geology,POL373,2500,5071,8 months,Industry-oriented program.,Letters of recommendation.
Astronomy,ARCH430,15000,19912,1 year,Designed for future professionals.,Entrance exam required.
Economics,PHYS247,7500,8496,2 years,Prepares students for global careers.,Entrance exam required.
Environmental Science,ENG475,7500,12321,1 year,Designed for future professionals.,Portfolio submission.
